,Question,,,,Response,
154,ଧାନ ବିହନ ବିଶୋଧନ ପାଇଁ କେତେ ପାଣି ଆବଶ୍ୟକ ?,,Seed and sowing,Seed Treatment,ଧାନ ବିହନ ବିଶୋଧନ ପାଇଁ କିଲୋଗ୍ରାମ ପ୍ରତି ୧ ଲିଟର ପାଣି ଆବଶ୍ୟକ ।,
155,ଗୋବର ପାଣିଦ୍ଵାରା ଧାନର ପତ୍ରପୋଡା ରୋଗକୁ ରୋକାଯାଇ ପାରିବ କି ?,,Pest and disease management ,BLB,ଗୋବର ପାଣିଦ୍ଵାରା ଧାନର ପତ୍ରପୋଡା ରୋଗକୁ ନିୟନ୍ତ୍ରଣ କରିବା ପାଇଁ କୌଣସି ଗବେଷଣା ଲବ୍ଧ ତଥ୍ୟ ନାହିଁ । ତେଣୁ ଏହା ଅନୁମୋଦନ କରାଯାଏ ନାହିଁ।,
156,ମୋର ଧାନ ଗଛର ପତ୍ର ଧଳା ହୋଇଯାଉଛି?,,Pest and disease Management,Thrips,"ଆପଣଙ୍କ ଧାନ ରେ ଗୁଣ୍ଡି ପୋକ ବା ଶୋଷକ ପୋକ ଲାଗିଛି ଏବଂ ଏହା କୁ କେମିତି ନିୟନ୍ତ୍ରଣ କରିବେ ଜାଣିବାକୁ ଚାହିଁ ଥିଲେ। ଏହି ପୋକ ର ନିୟନ୍ତ୍ରଣ ପାଇଁ ଆପଣ Flonicamide 50%WG ଔଷଧ ଯାହାକି Ulala ନା ରେ ମିଳୁଛି 5 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣି ରେ ମିଶାଇ କିମ୍ବା Dinotefuran 10%SG ଔଷଧ ଯାହାକି Osheen ବା Token ନା ରେ ମିଳୁଛି 5 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣିରେ ମିଶାଇ କିମ୍ବା Imidachlorpid 17.8%SL ଔଷଧ ଯାହାକି Confidor ବା Tatamida ନା ରେ ମିଳୁଛି 5ମିଲି ପ୍ରତି 15 ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରି ପାରିବେ । ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ।",
157,ଧାନ ତଳି ରେ ମୂଳ ସଢା ରୋଗ ଦେଖା ଯାଉଛି?,,Pest and disease Management,Foot rot,"ଆପଣ ପଚାରି ଥିଲେ ଯେ ତଳି ଗୁଡିକ ସଢି ଯାଉଛି ଏବଂ ସୁଖୀକି ମରି ଯାଉଛି। ଏହାର ପ୍ରତିକାର କରିବା ପାଇଁ ଆପଣ Copper oxychloride 88% w/w ଔଷଧ ଯାହାକି Blitox-50 ନାମରେ ମିଳୁଛି ସେଥିରୁ 30-ଗ୍ରାମ ଏବଂ 15-ଗ୍ରାମ Plantomycin ଔଷଧ କୁ 15-ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200-ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡିଥାଏ ।",
158,ମୋର ଧାନ ବିଲରେ ବହୁତ କାଦୁଅ ହୋଇ ଚେର ବାହାରିପାରୁନି ଓ ଗୋଡ ବି ପଶିଯାଉଛି?,,fertilizer Management,swamy soil,ଧାନ ବିଲରେ ଦଲଦଲ ମାଟିର ପରିଚାଳନା ପାଇଁ ବିଲରୁ ଅତ୍ୟଧିକ ପାଣିକୁ କାଟିଦିଅନ୍ତୁ। ଏହା ବ୍ୟତୀତ ଆପଣ ସହନଶୀଳ ଧାନ କିସମ ଚାଷ କରନ୍ତୁ। ଏହାର ଅନ୍ୟ କୌଣସି ପ୍ରତିକାର ନାହିଁ।,
159,ମୁଁ ଜାଣିବାକୁ ଚାହୁଁଛି ଯେ ଧଳା ଧାନ ବିହନ ଏବଂ ନାଲି ଧାନ ବିହନ ମଧ୍ୟରୁ କେଉଁ ଟା ଚାଷ କଲେ ଭଲ ଅମଳ ହେବ।,,Seeds and Sowing,Varietal Selection,ଆପଣ ପଚାରି ଥିଲେ ଧଳା ଧାନ ବିହନ ଏବଂ ନାଲି ଧାନ ବିହନ ମଧ୍ୟରୁ କେଉଁଟା ଚାଷ କଲେ ଭଲ ଅମଳ ହେବ। ଧାନ ବିହନ ର ରଙ୍ଗ ଉପରେ ଅମଳ ନିର୍ଭର କରି ନ ଥାଏ। ଉନ୍ନତ କିସମ ର ଧାନ ବିହନ ଚାଷ କଲେ ନିଶ୍ଚିତ ରୂପ ରେ ଅଧିକ ଅମଳ ହୋଇ ଥାଏ। ଆପଣ ଉଚ୍ଛ ଜମି ରେ ସହଳ କିସମ ଯେଉଁ ଟା କି 100-110 ଦିନ ଭିତରେ ହୋଇ ଥାଏ ଚାଷ କଲେ ଭଲ ଅମଳ ପାଇବେ। ମଧ୍ୟମ ଜମି ପାଇଁ କିସମ ଯେଉଁଟା କି 120-135 ଦିନ ଭିତରେ ହୋଇ ଥାଏ ବ୍ୟବହାର କରିବା ଉଚିତ। ଖାଲ ଜମି ପାଇଁ 135 ରୁ ଉର୍ଦ୍ଧ ଦିନ ଭିତରେ ଅମଳ ହେଉଥିବା ବିହନ ଗୁଡିକୁ ବ୍ୟବହାର କରି ପାରିବେ । ସଠିକ ସମୟ ରେ ରୋଗ ପୋକ ପରିଚାଳନା ଏବଂ ସୁଷମ ସାର ପ୍ରୟୋଗ କଲେ ନିଶ୍ଚିତ ଭାବେ ଭଲ ଅମଳ ହେବ।,
160,କେନ ହାଇବ୍ରିଡ ସ୍ଵର୍ଣ ଧାନ ସାଙ୍ଗେ କିମ୍ବା ଆଠ ଦିନ ପୂର୍ବରୁ ଅମଲ ହେଇ ପାରବା?,,Seeds and Sowing,Varietal Selection,"ଆପଣ ପଚାରି ଥିଲେ ଯେ ସ୍ଵର୍ଣ ଧାନ ସହ କିମ୍ବା ସ୍ଵର୍ଣ ଆଗରୁ କେଉଁ ଶଙ୍କର ଧାନ ଅଦାୟ ହୋଇ ଥାଏ। ସ୍ଵର୍ଣ ଧାନ ସାଧାରଣତଃ 140 ରୁ 145 ଦିନ ଭିତରେ ହୋଇଥାଏ। ଶଙ୍କର ଧାନ ଗୁଡିକ ସାଧାରଣତଃ 125-135 ଦିନ ଭିତରେ ଅମଳ ହୋଇଥାଏ। ଅଜୟ, ରାଜଲକ୍ଷ୍ମୀ ଏବଂ ସାହାଦ୍ରି ହାଇବ୍ରିଡ ଗୁଡିକ 135 ଦିନ ରେ ଅମଳ ହୋଇ ଥାଏ। ଆମ ଓଡିଶା ପାଇଁ ଉପଯୁକ୍ତ ପ୍ରାଇଭେଟ କମ୍ପାନି ର ଶଙ୍କର ଜାତୀୟ କିସମ ଯେମିତି କି ଆରାଇଜ ଧାନି (Arise Dhani) ଏବଂ ଆରାଇଜ (Arise)- 6444 ଧାନ 140 ରୁ 145 ଦିନ ମଧ୍ୟରେ ଅମଳ ହୋଇ ଥାଏ।",
161,ବିହନ ବିଶୋଧନ କେମିତି କରିବି ଏବଂ ତଳି କେତେ ଦିନ ହୋଇଗଲେ ରୋଇ ପାରିବି?,,Seeds and Sowing,Seed Treatment and Transplanting time,ଆପଣ ପଚାରି ଥିଲେ ଯେ ବିହନ କେମିତି ବିଶୋଧନ କରିବି ଏବଂ ତଳି କେତେ ଦିନ ହୋଇଗଲେ ରୋଇ ପାରିବେ। ଧାନ ବୁଣିବା କିମ୍ବା ତଳି ପକେଇବା ଆଗରୁ ବିହନ ବିଶୋଧନ କରିବା ନିହାତି ଜରୁରୀ। ବିହନ ବିଶୋଧନ କରିବା ପୂର୍ବରୁ 10 ଲିଟର ପାଣି ରେ 1 କେଜି 650 ଗ୍ରାମ ଲୁଣ ମିଶାଈ ଦ୍ରବଣ ତିଆରି କରନ୍ତୁ ଏବଂ ବିହନ କୁ ଏଥିରେ ପକାନ୍ତୁ। ପାଣି ରେ ଭାସୁ ଥିବା ମଞ୍ଜି ଗୁଡିକୁ ବାହାର କରି ଦିଅନ୍ତୁ। ତଳେ ବୁଡି ରହି ଥିବା ମଞ୍ଜି ଗୁଡିକୁ ବାହାର କରି 2 ରୁ 3 ଥର ପାଣି ରେ ଧୋଇ ଦିଅନ୍ତୁ ଏବଂ ଟାଣ ଖରା ରେ ଶୁଖେଇ ଦିଅନ୍ତୁ। ଶୁଖିଲା ମଞ୍ଜି ଗୁଡିକୁ ଏକ ଡ୍ରମ ରେ କିମ୍ବା ମାଟି ହାଣ୍ଡି ରେ ଭର୍ତି କରି 2 ଗ୍ରାମ Carbendazim କିମ୍ବା 3 ଗ୍ରାମ vitavax power ଔଷଧ କୁ ପ୍ରତି 1 କିଲୋଗ୍ରାମ ବିହନ ରେ ଗୋଳାଇ ଭଲ ଭାବ ରେ ମିଶାଇ ଦିଅନ୍ତୁ। ବିଶୋଧିତ ବିହନ କୁ ଛାଇ ରେ ରଖନ୍ତୁ ଏବଂ 10 ଦିନ ଭିତରେ ବୁଣିବା କିମ୍ବା ତଳି ପକେଇବା ପାଇଁ ବ୍ୟବହାର କରନ୍ତୁ। ତଳି ସାଧାରଣତଃ 4-5 ପତ୍ର ହୋଇଗଲେ କିମ୍ବା 21-25 ଦିନ ପାଖା ପାଖି ହେଇ ଗଲେ ଆପଣ ରୋଇ ପାରିବେ।,
162,ଗଲା ବର୍ଷ ସ୍ଵର୍ଣ ଧାନ କରି ଥିଲି ଭଲ ହେଇ ଥିଲା। ଏ ବର୍ଷ କେଉଁ ଧାନ କରିଲେ ଭଲ ହେବ ଏବଂ କେଉଁଠୁ କିଣିବି?,,Seeds and Sowing,Variety and Seed Procurement,"ଆପଣ ଗତ ବର୍ଷ ସ୍ଵର୍ଣ ଧାନ କରି ଥିଲେ ଏବଂ ଭଲ ଅମଳ ମଧ୍ୟ ପାଇ ଥିଲେ ଏ ବର୍ଷ ଅଲଗା କିସମ କରିବାକୁ ଚାହୁଁଛନ୍ତି । ଆପଣ ପ୍ରତୀକ୍ଷା, ରାଣୀ, ସ୍ଵର୍ଣ-ସବ 1 କିସମ ଚାଷ କରି ପାରିବେ। ଏ କିସମ ଗୁଡିକ ର ପ୍ରମାଣିତ ବିହନ ଆପଣ ନିକଟସ୍ଥ ପ୍ରାଥମିକ କୃଷି ସମବାୟ ସମିତି ବା PACS ରେ ରିହାତି ମୂଲ୍ୟ ରେ କିଣି ପାରିବେ।",
163,ଧାନ ବିହନ କେଉଁଠୁ କିଣିବି?,,Seeds and Sowing,Seed procurement,ଆପଣ ପଚାରି ଥିଲେ ଧାନ ବିହନ କେଉଁଠୁ କିଣିବେ? ଏହି ଖରିଫ ଋତୁ ରେ ଆପଣ ଆପଣଙ୍କ ପଞ୍ଚାୟତ ସ୍ତରୀୟ ପ୍ରାଥମିକ କୃଷି ସମବାୟ ସମିତି କିମ୍ବା ସରକାର ଙ୍କ ଦ୍ଵାରା ସ୍ୱୀକୃତି ପ୍ରାପ୍ତ ପ୍ରାଇଭେଟ ସଂସ୍ଥା ଗୁଡିକ ରୁ ଅନୁମୋଦିତ ମୂଲ୍ୟ ରେ ଧାନ ବିହନ କିଣି ପାରିବେ। ଆଗରୁ ଆପଣ ଙ୍କୁ ପୁରା ପଇସା ଦେବା କୁ ପଡୁ ଥିଲା ଏବଂ ପରେ ରିହାତି ଟଙ୍କା ଆପଣଙ୍କ ଆକାଉଣ୍ଟ କୁ ଆସୁଥିଲା ଏବେ କିନ୍ତୁ ଆପଣ ସିଧା ସଳଖ ରିହାତି ମୂଲ୍ୟ ରେ କିଣି ପାରିବେ।,
164,ମୁଁ ଜାଣିବାକୁ ଚାହୁଁଛି ଯେ ଧଳା ଧାନ ବିହନ ଏବଂ ନାଲି ଧାନ ବିହନ ମଧ୍ୟରୁ କେଉଁ ଟା ଚାଷ କଲେ ଭଲ ଅମଳ ହେବ।,,Seeds and Sowing,Varietal Selection,ଆପଣ ପଚାରି ଥିଲେ ଧଳା ଧାନ ବିହନ ଏବଂ ନାଲି ଧାନ ବିହନ ମଧ୍ୟରୁ କେଉଁଟା ଚାଷ କଲେ ଭଲ ଅମଳ ହେବ। ଧାନ ବିହନ ର ରଙ୍ଗ ଉପରେ ଅମଳ ନିର୍ଭର କରି ନ ଥାଏ। ଉନ୍ନତ କିସମ ର ଧାନ ବିହନ ଚାଷ କଲେ ନିଶ୍ଚିତ ରୂପ ରେ ଅଧିକ ଅମଳ ହୋଇ ଥାଏ। ଆପଣ ଉଚ୍ଛ ଜମି ରେ ସହଳ କିସମ ଯେଉଁ ଟା କି 100-110 ଦିନ ଭିତରେ ହୋଇ ଥାଏ ଚାଷ କଲେ ଭଲ ଅମଳ ପାଇବେ। ମଧ୍ୟମ ଜମି ପାଇଁ କିସମ ଯେଉଁଟା କି 120-135 ଦିନ ଭିତରେ ହୋଇ ଥାଏ ବ୍ୟବହାର କରିବା ଉଚିତ। ଖାଲ ଜମି ପାଇଁ 135 ରୁ ଉର୍ଦ୍ଧ ଦିନ ଭିତରେ ଅମଳ ହେଉଥିବା ବିହନ ଗୁଡିକୁ ବ୍ୟବହାର କରି ପାରିବେ । ସଠିକ ସମୟ ରେ ରୋଗ ପୋକ ପରିଚାଳନା ଏବଂ ସୁଷମ ସାର ପ୍ରୟୋଗ କଲେ ନିଶ୍ଚିତ ଭାବେ ଭଲ ଅମଳ ହେବ।,
165,କେନ ହାଇବ୍ରିଡ ସ୍ଵର୍ଣ ଧାନ ସାଙ୍ଗେ କିମ୍ବା ଆଠ ଦିନ ପୂର୍ବରୁ ଅମଲ ହେଇ ପାରବା?,,Seeds and Sowing,Varietal Selection,"ଆପଣ ପଚାରି ଥିଲେ ଯେ ସ୍ଵର୍ଣ ଧାନ ସହ କିମ୍ବା ସ୍ଵର୍ଣ ଆଗରୁ କେଉଁ ଶଙ୍କର ଧାନ ଅଦାୟ ହୋଇ ଥାଏ। ସ୍ଵର୍ଣ ଧାନ ସାଧାରଣତଃ 140 ରୁ 145 ଦିନ ଭିତରେ ହୋଇଥାଏ। ଶଙ୍କର ଧାନ ଗୁଡିକ ସାଧାରଣତଃ 125-135 ଦିନ ଭିତରେ ଅମଳ ହୋଇଥାଏ। ଅଜୟ, ରାଜଲକ୍ଷ୍ମୀ ଏବଂ ସାହାଦ୍ରି ହାଇବ୍ରିଡ ଗୁଡିକ 135 ଦିନ ରେ ଅମଳ ହୋଇ ଥାଏ। ଆମ ଓଡିଶା ପାଇଁ ଉପଯୁକ୍ତ ପ୍ରାଇଭେଟ କମ୍ପାନି ର ଶଙ୍କର ଜାତୀୟ କିସମ ଯେମିତି କି ଆରାଇଜ ଧାନି (Arise Dhani) ଏବଂ ଆରାଇଜ (Arise)- 6444 ଧାନ 140 ରୁ 145 ଦିନ ମଧ୍ୟରେ ଅମଳ ହୋଇ ଥାଏ।",
166,"ମୁଁ ସ୍ଵର୍ଣ ସବ-1 ବିହନ ବିଶୋଧନ କେମିତି କରିବି, ତଳି କେମିତି ପକେଇବି। ତଳି କେତେ ଦିନର ହୋଇଗଲେ ରୋଇ ପାରିବି?",,Seed Treatment,Nursery Preparation and Transplanting,"ଆପଣ ତଳି କେମିତି ପକେଇବେ ବୋଲି ପ୍ରଶ୍ନ କରି ଥିଲେ । ତଳି ପକେଇବା ଆଗରୁ ବିହନ କୁ Carbendazim ଔଷଧ 2 ଗ୍ରାମ ପ୍ରତି କିଲୋଗ୍ରାମ ବିହନ ରେ କିମ୍ବା Vitavax power ଔଷଧ 3 ଗ୍ରାମ ପ୍ରତି କେଜି ବିହନ ରେ ମିଶାଇ ବିଶୋଧନ କରନ୍ତୁ। ଏକ ଏକର ଧାନ ଚାଷ ପାଇଁ 10 ଡେସିମିଲ ଜାଗା ତଳି ଦରକାର ପଡି ଥାଏ। 200 କେଜି କୋମ୍ପୋଷ୍ଟ କିମ୍ବା ଶଢା ଗୋବର ଖତ, 4 କେଜି DAP, 2.5 କେଜି ପଟାସ ଏବଂ 1 କେଜି ଜିଙ୍କ ସଲଫେଟ ଅଣୁସାର ଶେଷ କାଦୁଅ କରିବା ସମୟ ରେ ପ୍ରୟୋଗ କରନ୍ତୁ। ସ୍ଵର୍ଣସବ-1 ବିଶୋଧିତ ଧାନ ବିହନ ଏକର ଜମିରେ 20 କେଜି ତଳି ପକେଇବା ପାଇଁ ବ୍ୟବହାର କରନ୍ତୁ।ବିଶୋଧିତ ଧାନ ବିହନ କୁ 24 ଘଣ୍ଟା ପାଣି ରେ ଭିଜାଇବା ପରେ ଗୋଟିଏ ଛାଇ ଜାଗାରେ ପାଲ ଉପରେ ଗଦାଇ ଓଦା ବସ୍ତା କିମ୍ବା ପାଳ ଘୋଡାଇ ରଖନ୍ତୁ। ଧାନ ଗଜା ହେଲା ପରେ ଗଜା ଧାନ କୁ ତଳି ଘେରା ରେ ସିଧା ବୁଣନ୍ତୁ କିମ୍ବା ଧାଡି ରେ ବୁଣନ୍ତୁ। ତଳି 20-25 ଦିନ ର ହୋଇଗଲେ ମୁଖ୍ୟ ଜମି ରେ ରୋଇ ପାରିବେ।",
167,ଧାନ ତଳି କେମିତି ରୋଇବୁ ଏବଂ ବୁଣା ଧାନ ରେ ବେଉଷଣ ବିଷୟ ରେ ଟିକେ କୁହନ୍ତୁ?,,Transplanting,Beushening,ଆପଣ ଯଦି ତଳି ପକେଇବାକୁ ଯାଉଛନ୍ତି। ତଳି ସାଧାରଣତଃ 20-25 ଦିନ ହୋଇଗଲେ ଆପଣ ରୋଇ ପାରିବେ। ବିଳମ୍ବ କିସମ ଧାନ ପାଇଁ ଗଛ କୁ ଗଛ 15 ସେମି ଏବଂ ଧାଡି କୁ ଧାଡି 20 ସେମି ବ୍ୟବଧାନ ରେ ରୋଇ ପାରିବେ। ଧାଡି ରେ ରୋଇବା ଦ୍ଵାରା ଗଛ ସଂଖ୍ୟା ଠିକ ରହେ ଏବଂ ଘାସ ର ନିୟନ୍ତ୍ରଣ କରିବା ପାଇଁ ସୁବିଧା ହୋଇଥାଏ। ଏହାଛଡା ଅମଳ ମଧ୍ୟ ଅଧିକ ହୋଇ ଥାଏ। ଯଦି ଖାଲୁଆ ଧାନ ଜମି ରେ ଧାନ ବୁଣୁଛନ୍ତି ତେବେ 25-35 ଦିନ ମଧ୍ୟରେ ବେଉଷଣ କରି ପାରିବେ। ଅଳ୍ପ ଉଚ୍ଛତା ଏବଂ ସ୍ୱଳ୍ପ ଅବଧି କିସମ ଗୁଡିକ ବେଉଷଣ ପାଇଁ ଠିକ ହୋଇ ନ ଥାଏ। ଖାଲୁଆ ଜମି ରେ ବିଳମ୍ବ କିସମ ଧାନ ଯଦି ବୁଣୁ ଥିବେ ତେବେ ବେଉଷଣ କରି ପାରିବେ। ବେଉଷଣ କରିବା ଦ୍ଵାରା କିଛି ମାତ୍ରା ରେ ଘାସ ନିୟନ୍ତ୍ରଣ ହୋଇ ଥାଏ।ବେଉଷଣ କରିବା ଦ୍ଵାରା ବହଳ ହୋଇ ଥିବା ଜାଗା ରୁ ତଳି ଓପାଡି ଖାଲି ଥିବା ସ୍ଥାନ ଗୁଡିକ ରେ ମନ୍ଦା ଲଗେଇ ହୁଏ। ,
168,ତଳି ପକେଇବା 8 ଦିନ ହେଲାଣି। ପ୍ରବଳ ବର୍ଷା ରେ କିଛି ପରିମାଣ ରେ ଧାନ ତଳି ନଷ୍ଟ ହୋଇ ଯାଇଛି। କ’ଣ କଲେ ତଳି ହୃଷ୍ଟ ପୃଷ୍ଟ ହେବ?,,Cultivation Practices,Crop growth Management,ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ପ୍ରବଳ ବର୍ଷା ରେ ତଳି ବୁଡି କି ଖରାପ ହୋଇଛି। କିପରି ଭାବରେ ଏହା କୁ ହୃଷ୍ଟ ପୃଷ୍ଟ କରି ହେବ। ତଳି 10 -12 ଦିନ ର ହୋଇ ଗଲେ 10 ଡେସିମିଲ ତଳି ଘେରା ପାଇଁ 4 କେଜି ୟୁରିୟା ପ୍ରୟୋଗ କରନ୍ତୁ। ତଳି 20-25 ଦିନ ର ହୋଇ ଗଲେ ରୋଇ ପାରିବେ।,
169,"ପ୍ରବଳ ବର୍ଷା ରେ ତଳି ସବୁ ନଷ୍ଟ ହୋଇ ଗଲାଣି, କିଛି ଉପଚାର କୁହନ୍ତୁ?",,Cultivation Practices,Crop growth Management,ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ପ୍ରବଳ ବର୍ଷା ରେ ତଳି ବୁଡି କି ଖରାପ ହୋଇଯାଇଛି। ତଳି ଯଦି ଖରାପ ହୋଇ ଗଲାଣି ଆପଣଙ୍କୁ ଆଉ ଥରେ ତଳି ପକେଇବା କୁ ପଡିବ। ଆପଣ ମଧ୍ୟମ ଏବଂ ଖାଲୁଆ ଜମି ପାଇଁ ଅପେକ୍ଷାକୃତ 15-20 ଦିନ କମ ଅବଧି କିସମ ଚୟନ କରନ୍ତୁ। ଆପଣ ବିହନ ପାଇଁ ପ୍ରାଥମିକ କୃଷି ସମବାୟ ସମିତି କିମ୍ବା ସହକାରୀ କୃଷି ଅଧିକାରୀ ଙ୍କୁ ଯୋଗ ଯୋଗ କରନ୍ତୁ।,
170,ତଳି କେତେ ଦିନ ହୋଇ ଗଲେ ମୁଁ ରୋଇ ପାରିବି?,,Cultivation Practices,Transplanting,ଆପଣ ଧାନ ତଳି କେତେ ଦିନ ଭିତରେ ରୋଇବା କଥା ବୋଲି ପଚାରିଥିଲେ। ଧାନ କିସମ ଯେତେ ମାସର ହୋଇଥାଏ ସେତେ ସପ୍ତାହ ର ତଳି ରୋଇବା କଥା। କିନ୍ତୁ ଆମେ ଯଦି 20-25 ଦିନ ଭିତରେ ତଳି ରୋଇବା ତେବେ ଗଛ ହୃଷ୍ଟ ପୃଷ୍ଟ ହୋଇ ବଢିଥାଏ ଏବଂ ପିଲ ସଂଖ୍ୟା ବେଶୀ ହୋଇ ଥାଏ।,
171,ରବି ଋତୁରେ ଡାଳୁଅ ଧାନ ର ତଳି ପକେଇବା ପାଇଁ ପ୍ରଣାଳୀ ଉପରେ କୁହନ୍ତୁ?,,Nursery Preparation,,"ଆପଣ ତଳି କେମିତି ପକେଇବେ ବୋଲି ପ୍ରଶ୍ନ କରି ଥିଲେ । ଡାଳୁଅ ଧାନ ପାଇଁ କାଦୁଅ ତଳିଘେରା ଅତ୍ୟନ୍ତ ଉପଯୋଗୀ। ଏକ ଏକର ଧାନ ଚାଷ ପାଇଁ 10 ଡେସିମିଲ ଜାଗା ତଳିଘରା ପାଇଁ ଦରକାର ପଡି ଥାଏ। ପ୍ରଥମେ ତଳି ଘେରା ପାଇଁ ନିର୍ବାଚିତ ଜମି ରେ ପାଣି ମଡାଇ 3-4 ଓଡ ଚାଷ କରି 3-4 ଦିନ ପର୍ଯନ୍ତ ପାଣି ବାନ୍ଧି ରଖନ୍ତୁ। ତଳି ପକେଇବା ଆଗରୁ ବିହନ କୁ Carbendazim ଔଷଧ 2 ଗ୍ରାମ କିମ୍ବା vitavax ଔଷଧ 3 ଗ୍ରାମ ପ୍ରତି କିଲୋଗ୍ରାମ ବିହନ ରେ ମିଶାଇ ବିଶୋଧନ କରନ୍ତୁ। 200 କେଜି କୋମ୍ପୋଷ୍ଟ କିମ୍ବା ଶଢା ଗୋବର ଖତ, 4 କେଜି DAP, 2.5 କେଜି ପଟାସ ଏବଂ 1 କେଜି ଜିଙ୍କ ସଲଫେଟ ଅଣୁସାର ଶେଷ କାଦୁଅ କରିବା ସମୟ ରେ ପ୍ରୟୋଗ କରନ୍ତୁ।1.25 ରୁ 1.5 ମିଟର ପ୍ରସ୍ଥ ବିଶିଷ୍ଟ ପଟାଳି କରାଯାଏ। ଯାହାର ଉଚତା 10 ସିଏମ ରହେ ଏବଂ ଦୁଇ ତଳି ପଟାଳି ମଧ୍ୟରେ 30 ସିଏମ ବ୍ୟବଧାନ ରଖାଯାଏ। ବିଶୋଧିତ ଧାନ ବିହନ କୁ 24 ଘଣ୍ଟା ପାଣି ରେ ଭିଜାଇବା ପରେ ଗୋଟିଏ ଛାଇ ଜାଗାରେ ପାଲ ଉପରେ ଗଦାଇ ଓଦା ବସ୍ତା କିମ୍ବା ପାଳ ଘୋଡାଇ ରଖନ୍ତୁ। ଧାନ ଗଜା ହେଲା ପରେ ଗଜା ଧାନ କୁ ତଳି ଘେରା ରେ ସିଧା ବୁଣନ୍ତୁ କିମ୍ବା ଧାଡି ରେ 5 ସିଏମ ବ୍ୟବଧାନ ରେ ବୁଣନ୍ତୁ। 15 ଦିନ ବେଳକୁ 4 କେଜି ୟୁରିଆ ସାର ପ୍ରୟୋଗ କରନ୍ତୁ।",
172,"ଡାଳୁଅ ଧାନ ରେ ଏକର ପ୍ରତି କେତେ ମଞ୍ଜି ଲଗେଇବାକୁ ପଡିବ, ଆଜ୍ଞା କିଛି କୁହନ୍ତୁ?",,Seeds and Sowing,Seed Rate,ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଡାଳୁଅ ଧାନ ରେ ଏକର ପ୍ରତି କେତେ ମଞ୍ଜି ଲଗେଇବାକୁ ପଡିବ । ଏକର ପ୍ରତି 18 ରୁ 20 କେଜି ଅଧିକ ଅମଳକ୍ଷ୍ୟମ ବିହନ ତଳି ପକେଇବା ପାଇଁ ଲାଗିଥାଏ। ହାଇବ୍ରିଡ ବା ଶଙ୍କର ଧାନ ପାଇଁ 6 କେଜି ବିହନ ଦରକାର ପଡେ।,
173,ଧାନ ରେ ମୂଳ ସାର ବିଷୟ ରେ ବିବରଣୀ ଦିଅନ୍ତୁ?,,Fertilizer Management,Basal Fertlizer,"ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନରେ ମୂଳ ସାର କଣ ଦେବେ। ତେବେ ଜାଣି ରଖନ୍ତୁ ଧାନରେ ମୂଳ ସାର ହିସାବରେ ଧାନ ରୋଇବା ପୂର୍ବରୁ ଶେଷ କାଦୁଅ କରିବା ସମୟ ରେ 35କେଜି ଡ଼ିଏପି ସାର ,27 କେଜି ପଟାସ ସାର, 10 କେଜି ଜିଙ୍କ ସଲଫେଟ ସାର ଏକ ଏକର ଜମିରେ ପ୍ରୟୋଗ କରନ୍ତୁ ।ଧାନ ରୋଇବା ପୂର୍ବରୁ 8 କେଜି ୟୁରିଆ ସାର ପ୍ରୟୋଗ କରନ୍ତୁ।",
174,ଧାନ ରେ ପିଲ ସାର ଦେବି ଏବଂ କିଛି ସାର ନା ଗୁଡିକ କୁହନ୍ତୁ।,,Fertilizer Management,First top dressing Fertilizer,ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନ ର ପିଲ ସାର ଉପରେ। ତେବେ ଜାଣି ରଖନ୍ତୁ ଧାନ ରୋଇବାର 20-25 ଦିନ ମଧ୍ୟରେ ପିଲ ସାର ଭାବରେ 35 କେଜି urea ଏକର ପିଛା ପ୍ରୟୋଗ କରନ୍ତୁ।,
